iter	RMSE
0	10854.62859
1	10055.24016
2	9323.040444
3	8652.521253
4	8016.23776
5	7462.156482
6	6982.886636
7	6541.725426
8	6140.365127
9	5791.251268
10	5475.581181
11	5200.768486
12	4943.025104
13	4711.902115
14	4498.191266
15	4344.406388
16	4167.103141
17	4007.497467
18	3869.706946
19	3748.825094
20	3636.815364
21	3535.741892
22	3445.736454
23	3359.775486
24	3291.819545
25	3227.641558
26	3177.336252
27	3121.601484
28	3077.033579
29	3038.263166
30	3009.432533
31	2977.0907
32	2946.048955
33	2916.820672
34	2886.071046
35	2864.137914
36	2845.11937
37	2820.622411
38	2796.749909
39	2777.024686
40	2744.04906
41	2720.161015
42	2697.083121
43	2678.515677
44	2664.843539
45	2655.219359
46	2644.061052
47	2621.535136
48	2605.600204
49	2595.147275
50	2585.382621
51	2567.381889
52	2555.41492
53	2538.96347
54	2533.461303
55	2525.192248
56	2518.884401
57	2509.507919
58	2500.667662
59	2489.135351
60	2479.788958
61	2467.046593
62	2456.826232
63	2452.332684
64	2448.941431
65	2444.280159
66	2436.521193
67	2423.69345
68	2415.256668
69	2409.258853
70	2401.591867
71	2393.736083
72	2388.419448
73	2378.258395
74	2373.909436
75	2366.748388
76	2358.439029
77	2354.499427
78	2352.397026
79	2346.89236
80	2335.160933
81	2326.04573
82	2318.224025
83	2312.368079
84	2306.647599
85	2301.909855
86	2298.700122
87	2293.976412
88	2282.051973
89	2270.454456
90	2267.944008
91	2266.498018
92	2264.003472
93	2257.470459
94	2251.192343
95	2245.215654
96	2240.33818
97	2234.355427
98	2228.837945
99	2223.626352
100	2219.351893
101	2216.452791
102	2213.333527
103	2210.315571
104	2205.114608
105	2197.303211
106	2192.495263
107	2186.84051
108	2184.13501
109	2182.244909
110	2175.693372
111	2170.306222
112	2165.434725
113	2163.526176
114	2160.775032
115	2159.03073
116	2156.095439
117	2152.457723
118	2147.821863
119	2145.268875
120	2143.243921
121	2138.764294
122	2132.23984
123	2129.498802
124	2126.027458
125	2120.783394
126	2117.347151
127	2112.693407
128	2108.719256
129	2105.839916
130	2102.79556
131	2097.96841
132	2094.406018
133	2092.351988
134	2088.206025
135	2085.194666
136	2082.210305
137	2080.689998
138	2075.992734
139	2072.619105
140	2070.514845
141	2067.40156
142	2063.920955
143	2062.630744
144	2060.225284
145	2056.855766
146	2055.672479
147	2054.054705
148	2051.681039
149	2047.209017
150	2044.36907
151	2042.54285
152	2037.313875
153	2034.720684
154	2033.298541
155	2030.243051
156	2027.272727
157	2024.193957
158	2022.355579
159	2020.940256
160	2018.24103
161	2015.838092
162	2014.16003
163	2012.916005
164	2011.342069
165	2009.554572
166	2008.210074
167	2004.970428
168	2002.530445
169	1998.585774
170	1996.99743
171	1994.234839
172	1992.316974
173	1988.854021
174	1987.090016
175	1985.059238
176	1983.899389
177	1981.72801
178	1979.917607
179	1977.215178
180	1975.56059
181	1974.490372
182	1973.431183
183	1972.261677
184	1969.212044
185	1966.000094
186	1964.05695
187	1959.72025
188	1958.314899
189	1957.960998
190	1954.70417
191	1952.266271
192	1949.225396
193	1947.94796
194	1946.027351
195	1944.931397
196	1943.372152
197	1942.003124
198	1940.292481
199	1939.271223
200	1937.363947
201	1934.734339
202	1931.522724
203	1931.112861
204	1929.707067
205	1928.447167
206	1927.355388
207	1926.173637
208	1924.212264
209	1921.410425
210	1919.009156
211	1917.275298
212	1915.346528
213	1913.459908
214	1911.853609
215	1909.626741
216	1907.748411
217	1905.592458
218	1903.912736
219	1901.464717
220	1898.600441
221	1897.680816
222	1895.402163
223	1893.263565
224	1892.480961
225	1891.46687
226	1889.907392
227	1889.434643
228	1888.183607
229	1885.715696
230	1884.221003
231	1882.59086
232	1879.156002
233	1876.742302
234	1874.897408
235	1872.15729
236	1870.163553
237	1868.980232
238	1866.11644
239	1864.217568
240	1862.894358
241	1861.70821
242	1859.451699
243	1858.678422
244	1855.345592
245	1853.415571
246	1851.297359
247	1850.489513
248	1849.776878
249	1849.258835
250	1846.670038
251	1845.584824
252	1844.254132
253	1843.355394
254	1842.77141
255	1841.990709
256	1840.412771
257	1838.323831
258	1836.294232
259	1833.905189
260	1833.621946
261	1831.419886
262	1829.703752
263	1828.455781
264	1826.803314
265	1824.674824
266	1822.617229
267	1820.903598
268	1819.781018
269	1818.345815
270	1817.738464
271	1816.196531
272	1814.907529
273	1812.594689
274	1811.923833
275	1810.924987
276	1810.359347
277	1809.034342
278	1806.411553
279	1805.226922
280	1803.52198
281	1801.477151
282	1799.595554
283	1798.479229
284	1797.36173
285	1795.842553
286	1794.16664
287	1792.154875
288	1790.760069
289	1789.179017
290	1787.865704
291	1787.013518
292	1784.484625
293	1782.737356
294	1781.195145
295	1779.004094
296	1777.442862
297	1776.5986
298	1775.154871
299	1774.022865
