iter	Passed	Remaining
0	3	1017
1	6	926
2	9	900
3	11	876
4	14	872
5	17	857
6	20	841
7	22	831
8	25	821
9	28	818
10	31	816
11	32	789
12	35	783
13	38	776
14	40	769
15	42	757
16	44	740
17	46	721
18	47	703
19	49	686
20	50	669
21	51	654
22	53	642
23	54	629
24	56	617
25	57	605
26	58	595
27	60	584
28	61	575
29	62	566
30	64	558
31	65	550
32	67	544
33	68	537
34	70	530
35	71	523
36	72	517
37	74	512
38	75	506
39	77	501
40	78	495
41	79	490
42	81	486
43	82	481
44	84	476
45	85	472
46	86	467
47	88	463
48	89	459
49	91	455
50	92	451
51	93	447
52	95	444
53	96	440
54	98	436
55	99	433
56	100	430
57	102	428
58	104	425
59	105	422
60	106	418
61	108	415
62	109	412
63	110	409
64	112	406
65	113	403
66	115	400
67	116	397
68	118	395
69	119	392
70	120	389
71	122	386
72	123	384
73	124	381
74	126	378
75	127	376
76	128	373
77	130	371
78	131	368
79	133	366
80	134	363
81	135	361
82	137	358
83	138	356
84	140	354
85	141	352
86	142	349
87	144	347
88	145	345
89	147	343
90	148	341
91	150	339
92	151	337
93	152	334
94	154	332
95	155	330
96	157	328
97	158	326
98	159	324
99	161	322
100	162	320
101	164	318
102	165	316
103	166	314
104	168	312
105	169	310
106	171	309
107	172	307
108	174	305
109	175	303
110	176	301
111	178	299
112	179	297
113	181	295
114	182	293
115	183	291
116	185	289
117	186	288
118	188	286
119	189	284
120	191	282
121	192	280
122	194	279
123	195	277
124	196	275
125	198	273
126	199	272
127	201	270
128	202	268
129	204	266
130	205	265
131	206	263
132	208	261
133	209	259
134	210	257
135	212	256
136	213	254
137	215	252
138	216	250
139	218	249
140	219	247
141	220	245
142	222	244
143	223	242
144	225	240
145	226	239
146	228	237
147	229	235
148	230	233
149	232	232
150	233	230
151	235	228
152	236	227
153	238	225
154	239	224
155	240	222
156	242	220
157	243	219
158	245	217
159	247	216
160	248	214
161	250	213
162	251	211
163	252	209
164	254	208
165	255	206
166	257	204
167	258	203
168	259	201
169	261	199
170	262	198
171	264	196
172	265	195
173	267	193
174	268	191
175	270	190
176	271	188
177	272	186
178	274	185
179	275	183
180	277	182
181	278	180
182	280	179
183	281	177
184	282	175
185	284	174
186	285	172
187	287	171
188	288	169
189	289	167
190	291	166
191	292	164
192	294	163
193	295	161
194	297	160
195	298	158
196	300	156
197	301	155
198	303	153
199	304	152
200	305	150
201	307	149
202	308	147
203	310	145
204	311	144
205	312	142
206	314	141
207	315	139
208	317	138
209	318	136
210	320	135
211	321	133
212	323	132
213	324	130
214	326	128
215	327	127
216	328	125
217	330	124
218	331	122
219	333	121
220	334	119
221	336	118
222	337	116
223	339	115
224	340	113
225	342	112
226	343	110
227	345	109
228	346	107
229	348	105
230	349	104
231	351	102
232	352	101
233	354	99
234	355	98
235	357	96
236	358	95
237	359	93
238	361	92
239	362	90
240	364	89
241	365	87
242	367	86
243	368	84
244	370	83
245	371	81
246	373	80
247	374	78
248	376	77
249	377	75
250	379	74
251	380	72
252	382	70
253	383	69
254	385	67
255	386	66
256	388	64
257	389	63
258	391	61
259	392	60
260	393	58
261	395	57
262	396	55
263	398	54
264	399	52
265	400	51
266	402	49
267	403	48
268	405	46
269	406	45
270	408	43
271	409	42
272	411	40
273	412	39
274	413	37
275	415	36
276	416	34
277	418	33
278	419	31
279	421	30
280	422	28
281	423	27
282	425	25
283	426	24
284	428	22
285	429	21
286	431	19
287	432	18
288	434	16
289	435	15
290	436	13
291	438	12
292	439	10
293	441	9
294	442	7
295	443	5
296	445	4
297	446	2
298	448	1
299	449	0
